id,round,draw_date,num1,num2,num3,num4,num5,num6,bonus,sales_amount,winner_count_1st,prize_1st,created_at,updated_at,numbers,year,month,day,day_of_week,quarter,sum,mean,std,min,max,range,odd_count,even_count,odd_ratio,prime_count,consecutive_count,range_1_10,range_11_20,range_21_30,range_31_40,range_41_45,last_digits,ac_value
11,1107,2023-03-18,7,9,19,22,30,37,3,100139727430,11,4551805792,2025-11-07 08:55:47,2025-11-07 08:55:47.935700,"[7, 9, 19, 22, 30, 37]",2023,3,18,5,1,124,20.666666666666668,11.673331429659086,7,37,30,4,2,0.6666666666666666,3,0,2,1,2,1,0,"[7, 9, 9, 2, 0, 7]",14
12,1108,2023-03-25,17,20,24,28,30,36,34,98832005697,1,49416002848,2025-11-07 08:55:47,2025-11-07 08:55:47.935706,"[17, 20, 24, 28, 30, 36]",2023,3,25,5,1,155,25.833333333333332,6.940220937885671,17,36,19,1,5,0.16666666666666666,1,0,0,2,3,1,0,"[7, 0, 4, 8, 0, 6]",12
13,1109,2023-04-01,1,3,10,23,33,45,20,84021582874,9,4667865715,2025-11-07 08:55:47,2025-11-07 08:55:47.935713,"[1, 3, 10, 23, 33, 45]",2023,4,1,5,2,115,19.166666666666668,17.60018939292037,1,45,44,5,1,0.8333333333333334,2,0,3,0,1,1,1,"[1, 3, 0, 3, 3, 5]",14
14,1110,2023-04-08,2,18,21,25,26,43,35,92832701902,6,7736058491,2025-11-07 08:55:47,2025-11-07 08:55:47.935720,"[2, 18, 21, 25, 26, 43]",2023,4,8,5,2,135,22.5,13.277801022759755,2,43,41,3,3,0.5,2,1,1,1,3,0,1,"[2, 8, 1, 5, 6, 3]",15
15,1111,2023-04-15,14,21,28,30,40,42,37,95331654536,12,3972152272,2025-11-07 08:55:47,2025-11-07 08:55:47.935726,"[14, 21, 28, 30, 40, 42]",2023,4,15,5,2,175,29.166666666666668,10.778064142816495,14,42,28,1,5,0.16666666666666666,0,0,0,1,3,1,1,"[4, 1, 8, 0, 0, 2]",11
16,1112,2023-04-22,1,13,29,33,36,39,37,80053783404,10,4002689170,2025-11-07 08:55:47,2025-11-07 08:55:47.935732,"[1, 13, 29, 33, 36, 39]",2023,4,22,5,2,151,25.166666666666668,14.945456388704452,1,39,38,5,1,0.8333333333333334,2,0,1,1,1,3,0,"[1, 3, 9, 3, 6, 9]",14
17,1113,2023-04-29,5,6,10,14,24,38,26,110762119944,5,11076211994,2025-11-07 08:55:47,2025-11-07 08:55:47.935738,"[5, 6, 10, 14, 24, 38]",2023,4,29,5,2,97,16.166666666666668,12.718752559377302,5,38,33,1,5,0.16666666666666666,1,1,3,1,1,1,0,"[5, 6, 0, 4, 4, 8]",13
18,1114,2023-05-06,2,12,20,26,28,38,21,85788677117,15,2859622570,2025-11-07 08:55:47,2025-11-07 08:55:47.935744,"[2, 12, 20, 26, 28, 38]",2023,5,6,5,2,126,21.0,12.696456198483101,2,38,36,0,6,0.0,1,0,1,2,2,1,0,"[2, 2, 0, 6, 8, 8]",11
19,1115,2023-05-13,7,8,16,17,30,37,38,117152930510,8,7322058156,2025-11-07 08:55:47,2025-11-07 08:55:47.935750,"[7, 8, 16, 17, 30, 37]",2023,5,13,5,2,115,19.166666666666668,12.02358792817962,7,37,30,3,3,0.5,3,2,2,2,1,1,0,"[7, 8, 6, 7, 0, 7]",13
20,1116,2023-05-20,17,21,25,30,31,38,2,115602738147,5,11560273814,2025-11-07 08:55:47,2025-11-07 08:55:47.935756,"[17, 21, 25, 30, 31, 38]",2023,5,20,5,2,162,27.0,7.563068160475615,17,38,21,4,2,0.6666666666666666,2,1,0,1,3,2,0,"[7, 1, 5, 0, 1, 8]",12
21,1117,2023-05-27,12,32,38,39,44,45,36,106620963673,9,5923386870,2025-11-07 08:55:47,2025-11-07 08:55:47.935762,"[12, 32, 38, 39, 44, 45]",2023,5,27,5,2,210,35.0,12.198360545581526,12,45,33,2,4,0.3333333333333333,0,2,0,1,0,3,2,"[2, 2, 8, 9, 4, 5]",11
22,1118,2023-06-03,10,16,23,31,40,41,9,83197288856,2,20799322214,2025-11-07 08:55:47,2025-11-07 08:55:47.935768,"[10, 16, 23, 31, 40, 41]",2023,6,3,5,2,161,26.833333333333332,12.703018014104627,10,41,31,3,3,0.5,3,1,1,1,1,2,1,"[0, 6, 3, 1, 0, 1]",15
23,1119,2023-06-10,5,17,19,20,38,43,44,100413882681,7,7172420191,2025-11-07 08:55:47,2025-11-07 08:55:47.935774,"[5, 17, 19, 20, 38, 43]",2023,6,10,5,2,142,23.666666666666668,14.193895401427568,5,43,38,4,2,0.6666666666666666,4,1,1,3,0,1,1,"[5, 7, 9, 0, 8, 3]",15
24,1120,2023-06-17,3,5,14,19,29,34,43,86146641682,5,8614664168,2025-11-07 08:55:47,2025-11-07 08:55:47.935779,"[3, 5, 14, 19, 29, 34]",2023,6,17,5,2,104,17.333333333333332,12.53262409340784,3,34,31,4,2,0.6666666666666666,4,0,2,2,1,1,0,"[3, 5, 4, 9, 9, 4]",13
25,1121,2023-06-24,22,26,27,32,34,42,18,110135518249,7,7866822732,2025-11-07 08:55:47,2025-11-07 08:55:47.935785,"[22, 26, 27, 32, 34, 42]",2023,6,24,5,2,183,30.5,7.092249290598858,22,42,20,1,5,0.16666666666666666,0,1,0,0,3,2,1,"[2, 6, 7, 2, 4, 2]",12
26,1122,2023-07-01,4,14,22,25,34,40,31,84912249788,10,4245612489,2025-11-07 08:55:47,2025-11-07 08:55:47.935791,"[4, 14, 22, 25, 34, 40]",2023,7,1,5,3,139,23.166666666666668,13.09070917355766,4,40,36,1,5,0.16666666666666666,0,0,1,1,2,2,0,"[4, 4, 2, 5, 4, 0]",14
27,1123,2023-07-08,3,6,8,11,38,40,23,101381327570,10,5069066378,2025-11-07 08:55:47,2025-11-07 08:55:47.935797,"[3, 6, 8, 11, 38, 40]",2023,7,8,5,3,106,17.666666666666668,16.741166825125024,3,40,37,2,4,0.3333333333333333,2,0,3,1,0,2,0,"[3, 6, 8, 1, 8, 0]",11
28,1124,2023-07-15,4,10,31,35,37,42,16,94827245109,10,4741362255,2025-11-07 08:55:47,2025-11-07 08:55:47.935803,"[4, 10, 31, 35, 37, 42]",2023,7,15,5,3,159,26.5,15.630099167951558,4,42,38,3,3,0.5,2,0,2,0,0,3,1,"[4, 0, 1, 5, 7, 2]",13
29,1125,2023-07-22,3,10,17,20,29,43,5,89158866371,13,3429187168,2025-11-07 08:55:47,2025-11-07 08:55:47.935808,"[3, 10, 17, 20, 29, 43]",2023,7,22,5,3,122,20.333333333333332,14.193895401427568,3,43,40,4,2,0.6666666666666666,4,0,2,2,1,0,1,"[3, 0, 7, 0, 9, 3]",12
30,1126,2023-07-29,18,34,36,41,43,45,11,105921517069,12,4413396544,2025-11-07 08:55:47,2025-11-07 08:55:47.935814,"[18, 34, 36, 41, 43, 45]",2023,7,29,5,3,217,36.166666666666664,9.826834010334492,18,45,27,3,3,0.5,2,0,0,1,0,2,3,"[8, 4, 6, 1, 3, 5]",11
31,1127,2023-08-05,6,10,14,20,23,45,16,110484532733,9,6138029596,2025-11-07 08:55:47,2025-11-07 08:55:47.935820,"[6, 10, 14, 20, 23, 45]",2023,8,5,5,3,118,19.666666666666668,13.894843168120563,6,45,39,2,4,0.3333333333333333,1,0,2,2,1,0,1,"[6, 0, 4, 0, 3, 5]",14
32,1128,2023-08-12,3,4,11,28,32,38,6,103542499335,9,5752361074,2025-11-07 08:55:47,2025-11-07 08:55:47.935826,"[3, 4, 11, 28, 32, 38]",2023,8,12,5,3,116,19.333333333333332,15.200877167672484,3,38,35,2,4,0.3333333333333333,2,1,2,1,1,2,0,"[3, 4, 1, 8, 2, 8]",15
33,1129,2023-08-19,8,9,14,27,28,33,37,105230183367,2,26307545841,2025-11-07 08:55:47,2025-11-07 08:55:47.935831,"[8, 9, 14, 27, 28, 33]",2023,8,19,5,3,119,19.833333333333332,10.796604404472113,8,33,25,3,3,0.5,0,2,2,1,2,1,0,"[8, 9, 4, 7, 8, 3]",10
34,1130,2023-08-26,5,23,34,36,44,45,27,84598936841,3,14099822806,2025-11-07 08:55:47,2025-11-07 08:55:47.935837,"[5, 23, 34, 36, 44, 45]",2023,8,26,5,3,187,31.166666666666668,15.091940453986249,5,45,40,3,3,0.5,2,1,1,0,1,2,2,"[5, 3, 4, 6, 4, 5]",14
35,1131,2023-09-02,2,5,26,27,31,44,34,96586447225,11,4390293055,2025-11-07 08:55:47,2025-11-07 08:55:47.935843,"[2, 5, 26, 27, 31, 44]",2023,9,2,5,3,135,22.5,16.084153692376855,2,44,42,3,3,0.5,3,1,2,0,2,1,1,"[2, 5, 6, 7, 1, 4]",15
36,1132,2023-09-09,5,17,20,29,39,44,19,111130232854,8,6945639553,2025-11-07 08:55:47,2025-11-07 08:55:47.935849,"[5, 17, 20, 29, 39, 44]",2023,9,9,5,3,154,25.666666666666668,14.555640372950503,5,44,39,4,2,0.6666666666666666,3,0,1,2,1,1,1,"[5, 7, 0, 9, 9, 4]",12
37,1133,2023-09-16,2,5,13,24,26,41,1,100308762204,0,50154381102,2025-11-07 08:55:47,2025-11-07 08:55:47.935854,"[2, 5, 13, 24, 26, 41]",2023,9,16,5,3,111,18.5,14.679918255903198,2,41,39,3,3,0.5,4,0,2,1,2,0,1,"[2, 5, 3, 4, 6, 1]",14
38,1134,2023-09-23,13,30,32,38,39,40,10,99443703240,15,3314790108,2025-11-07 08:55:47,2025-11-07 08:55:47.935860,"[13, 30, 32, 38, 39, 40]",2023,9,23,5,3,192,32.0,10.13903348450926,13,40,27,2,4,0.3333333333333333,1,2,0,1,1,4,0,"[3, 0, 2, 8, 9, 0]",12
39,1135,2023-09-30,8,13,18,19,26,45,43,115494125945,4,14436765743,2025-11-07 08:55:47,2025-11-07 08:55:47.935866,"[8, 13, 18, 19, 26, 45]",2023,9,30,5,3,129,21.5,13.003845585056753,8,45,37,3,3,0.5,2,1,1,3,1,0,1,"[8, 3, 8, 9, 6, 5]",14
40,1136,2023-10-07,6,13,25,27,32,34,40,87297697347,13,3357603744,2025-11-07 08:55:47,2025-11-07 08:55:47.935872,"[6, 13, 25, 27, 32, 34]",2023,10,7,5,4,137,22.833333333333332,11.052903087726168,6,34,28,3,3,0.5,1,0,1,1,2,2,0,"[6, 3, 5, 7, 2, 4]",10
41,1137,2023-10-14,10,14,23,24,29,31,38,86507958791,6,7208996565,2025-11-07 08:55:47,2025-11-07 08:55:47.935878,"[10, 14, 23, 24, 29, 31]",2023,10,14,5,4,131,21.833333333333332,8.280499179799891,10,31,21,3,3,0.5,3,1,1,1,3,1,0,"[0, 4, 3, 4, 9, 1]",15
42,1138,2023-10-21,2,3,11,16,18,21,31,93524632330,12,3896859680,2025-11-07 08:55:47,2025-11-07 08:55:47.935883,"[2, 3, 11, 16, 18, 21]",2023,10,21,5,4,71,11.833333333333334,7.935153852740769,2,21,19,3,3,0.5,3,1,2,3,1,0,0,"[2, 3, 1, 6, 8, 1]",14
43,1139,2023-10-28,8,13,18,24,38,39,25,85720195111,7,6122871079,2025-11-07 08:55:47,2025-11-07 08:55:47.935889,"[8, 13, 18, 24, 38, 39]",2023,10,28,5,4,140,23.333333333333332,12.894443247642245,8,39,31,2,4,0.3333333333333333,1,1,1,2,1,2,0,"[8, 3, 8, 4, 8, 9]",14
44,1140,2023-11-04,8,19,23,31,32,33,29,109441998185,5,10944199818,2025-11-07 08:55:47,2025-11-07 08:55:47.935945,"[8, 19, 23, 31, 32, 33]",2023,11,4,5,4,146,24.333333333333332,9.750213672872336,8,33,25,4,2,0.6666666666666666,3,2,1,1,1,3,0,"[8, 9, 3, 1, 2, 3]",14
45,1141,2023-11-11,5,11,14,15,32,45,33,86875394279,13,3341361318,2025-11-07 08:55:47,2025-11-07 08:55:47.935952,"[5, 11, 14, 15, 32, 45]",2023,11,11,5,4,122,20.333333333333332,15.068731421943477,5,45,40,4,2,0.6666666666666666,2,1,1,3,0,1,1,"[5, 1, 4, 5, 2, 5]",15
46,1142,2023-11-18,15,32,34,35,42,43,41,104986652081,5,10498665208,2025-11-07 08:55:47,2025-11-07 08:55:47.935957,"[15, 32, 34, 35, 42, 43]",2023,11,18,5,4,201,33.5,10.094552986635911,15,43,28,3,3,0.5,1,2,0,1,0,3,2,"[5, 2, 4, 5, 2, 3]",13
47,1143,2023-11-25,7,17,27,28,33,44,39,89770030777,7,6412145055,2025-11-07 08:55:47,2025-11-07 08:55:47.935963,"[7, 17, 27, 28, 33, 44]",2023,11,25,5,4,156,26.0,12.806248474865697,7,44,37,4,2,0.6666666666666666,2,1,1,1,2,1,1,"[7, 7, 7, 8, 3, 4]",12
48,1144,2023-12-02,3,4,15,37,39,41,8,95846315127,13,3686396735,2025-11-07 08:55:47,2025-11-07 08:55:47.935969,"[3, 4, 15, 37, 39, 41]",2023,12,2,5,4,139,23.166666666666668,17.893201688537093,3,41,38,5,1,0.8333333333333334,3,1,2,1,0,2,1,"[3, 4, 5, 7, 9, 1]",14
49,1145,2023-12-09,4,11,12,18,19,43,41,91788493168,7,6556320940,2025-11-07 08:55:47,2025-11-07 08:55:47.935974,"[4, 11, 12, 18, 19, 43]",2023,12,9,5,4,107,17.833333333333332,13.467244212037837,4,43,39,3,3,0.5,3,2,1,4,0,0,1,"[4, 1, 2, 8, 9, 3]",11
50,1146,2023-12-16,1,7,17,22,24,29,13,85758432454,1,42879216227,2025-11-07 08:55:47,2025-11-07 08:55:47.935980,"[1, 7, 17, 22, 24, 29]",2023,12,16,5,4,100,16.666666666666668,10.708252269472673,1,29,28,4,2,0.6666666666666666,3,0,2,1,3,0,0,"[1, 7, 7, 2, 4, 9]",13
51,1147,2023-12-23,1,8,15,17,20,30,3,87447923186,11,3974905599,2025-11-07 08:55:47,2025-11-07 08:55:47.935986,"[1, 8, 15, 17, 20, 30]",2023,12,23,5,4,91,15.166666666666666,9.988326519826366,1,30,29,3,3,0.5,1,0,2,3,1,0,0,"[1, 8, 5, 7, 0, 0]",14
52,1148,2023-12-30,1,3,14,15,30,32,13,86103808405,3,14350634734,2025-11-07 08:55:47,2025-11-07 08:55:47.935992,"[1, 3, 14, 15, 30, 32]",2023,12,30,5,4,95,15.833333333333334,13.04479461956633,1,32,31,3,3,0.5,1,1,2,2,1,1,0,"[1, 3, 4, 5, 0, 2]",13
53,1149,2024-01-06,2,18,23,26,28,37,15,86362928925,0,43181464462,2025-11-07 08:55:47,2025-11-07 08:55:47.935997,"[2, 18, 23, 26, 28, 37]",2024,1,6,5,1,134,22.333333333333332,11.775681155103797,2,37,35,2,4,0.3333333333333333,3,0,1,1,3,1,0,"[2, 8, 3, 6, 8, 7]",14
54,1150,2024-01-13,8,10,16,17,23,29,25,89528429356,1,44764214678,2025-11-07 08:55:47,2025-11-07 08:55:47.936003,"[8, 10, 16, 17, 23, 29]",2024,1,13,5,1,103,17.166666666666668,7.884584115009914,8,29,21,3,3,0.5,3,1,2,2,2,0,0,"[8, 0, 6, 7, 3, 9]",11
55,1151,2024-01-20,5,15,18,23,39,40,6,99212253406,1,49606126703,2025-11-07 08:55:47,2025-11-07 08:55:47.936009,"[5, 15, 18, 23, 39, 40]",2024,1,20,5,1,140,23.333333333333332,13.837148068394248,5,40,35,4,2,0.6666666666666666,2,1,1,2,1,2,0,"[5, 5, 8, 3, 9, 0]",15
56,1152,2024-01-27,6,18,19,24,39,44,2,101633586632,13,3908984101,2025-11-07 08:55:47,2025-11-07 08:55:47.936015,"[6, 18, 19, 24, 39, 44]",2024,1,27,5,1,150,25.0,14.170391667134682,6,44,38,2,4,0.3333333333333333,1,1,1,2,1,1,1,"[6, 8, 9, 4, 9, 4]",13
57,1153,2024-02-03,7,12,14,16,28,41,21,93847515234,1,46923757617,2025-11-07 08:55:47,2025-11-07 08:55:47.936020,"[7, 12, 14, 16, 28, 41]",2024,2,3,5,1,118,19.666666666666668,12.564500255349063,7,41,34,2,4,0.3333333333333333,2,0,1,3,1,0,1,"[7, 2, 4, 6, 8, 1]",14
58,1154,2024-02-10,4,11,23,27,34,38,5,80080430731,4,10010053841,2025-11-07 08:55:47,2025-11-07 08:55:47.936026,"[4, 11, 23, 27, 34, 38]",2024,2,10,5,1,137,22.833333333333332,13.166877635440631,4,38,34,3,3,0.5,2,0,1,1,2,2,0,"[4, 1, 3, 7, 4, 8]",11
59,1155,2024-02-17,2,4,15,20,22,24,17,93067586879,9,5170421493,2025-11-07 08:55:47,2025-11-07 08:55:47.936032,"[2, 4, 15, 20, 22, 24]",2024,2,17,5,1,87,14.5,9.418067742376884,2,24,22,1,5,0.16666666666666666,1,0,2,2,2,0,0,"[2, 4, 5, 0, 2, 4]",11
60,1156,2024-02-24,5,17,28,34,36,44,9,102922115867,9,5717895325,2025-11-07 08:55:47,2025-11-07 08:55:47.936037,"[5, 17, 28, 34, 36, 44]",2024,2,24,5,1,164,27.333333333333332,14.165686240583852,5,44,39,2,4,0.3333333333333333,2,0,1,1,1,2,1,"[5, 7, 8, 4, 6, 4]",14
61,1157,2024-03-02,1,7,22,31,36,42,21,103714427031,12,4321434459,2025-11-07 08:55:47,2025-11-07 08:55:47.936043,"[1, 7, 22, 31, 36, 42]",2024,3,2,5,1,139,23.166666666666668,16.33911462309591,1,42,41,3,3,0.5,2,0,2,0,1,2,1,"[1, 7, 2, 1, 6, 2]",13
62,1158,2024-03-09,7,14,33,38,41,43,40,94175341649,15,3139178054,2025-11-07 08:55:47,2025-11-07 08:55:47.936049,"[7, 14, 33, 38, 41, 43]",2024,3,9,5,1,176,29.333333333333332,15.13494851879803,7,43,36,4,2,0.6666666666666666,3,0,1,1,0,2,2,"[7, 4, 3, 8, 1, 3]",14
63,1159,2024-03-16,3,11,24,29,37,43,34,92692083343,1,46346041671,2025-11-07 08:55:47,2025-11-07 08:55:47.936055,"[3, 11, 24, 29, 37, 43]",2024,3,16,5,1,147,24.5,15.254507530562892,3,43,40,5,1,0.8333333333333334,5,0,1,1,2,1,1,"[3, 1, 4, 9, 7, 3]",12
64,1160,2024-03-23,1,6,9,19,30,44,32,118524383512,1,59262191756,2025-11-07 08:55:47,2025-11-07 08:55:47.936061,"[1, 6, 9, 19, 30, 44]",2024,3,23,5,1,109,18.166666666666668,16.339114623095913,1,44,43,3,3,0.5,1,0,3,1,1,0,1,"[1, 6, 9, 9, 0, 4]",15
65,1161,2024-03-30,7,8,14,32,35,42,25,101603565234,7,7257397516,2025-11-07 08:55:47,2025-11-07 08:55:47.936067,"[7, 8, 14, 32, 35, 42]",2024,3,30,5,1,138,23.0,15.152557539900648,7,42,35,2,4,0.3333333333333333,1,1,2,1,0,2,1,"[7, 8, 4, 2, 5, 2]",13
66,1162,2024-04-06,8,13,18,30,32,39,37,114716352585,12,4779848024,2025-11-07 08:55:47,2025-11-07 08:55:47.936073,"[8, 13, 18, 30, 32, 39]",2024,4,6,5,2,140,23.333333333333332,12.127104628338401,8,39,31,2,4,0.3333333333333333,1,0,1,2,1,2,0,"[8, 3, 8, 0, 2, 9]",14
67,1163,2024-04-13,9,27,28,29,31,32,30,101206477443,0,50603238721,2025-11-07 08:55:47,2025-11-07 08:55:47.936078,"[9, 27, 28, 29, 31, 32]",2024,4,13,5,2,156,26.0,8.532291603080617,9,32,23,4,2,0.6666666666666666,2,3,1,0,3,2,0,"[9, 7, 8, 9, 1, 2]",10
68,1164,2024-04-20,6,12,32,34,38,40,11,94749531391,2,23687382847,2025-11-07 08:55:47,2025-11-07 08:55:47.936084,"[6, 12, 32, 34, 38, 40]",2024,4,20,5,2,162,27.0,14.352700094407323,6,40,34,0,6,0.0,0,0,1,1,0,4,0,"[6, 2, 2, 4, 8, 0]",10
69,1165,2024-04-27,10,11,30,35,37,44,6,114901236818,1,57450618409,2025-11-07 08:55:47,2025-11-07 08:55:47.936090,"[10, 11, 30, 35, 37, 44]",2024,4,27,5,2,167,27.833333333333332,14.162156144693034,10,44,34,3,3,0.5,2,1,1,1,1,2,1,"[0, 1, 0, 5, 7, 4]",14
70,1166,2024-05-04,2,12,24,33,34,40,36,90239364947,7,6445668924,2025-11-07 08:55:47,2025-11-07 08:55:47.936096,"[2, 12, 24, 33, 34, 40]",2024,5,4,5,2,145,24.166666666666668,14.59337749346143,2,40,38,1,5,0.16666666666666666,1,1,1,1,1,3,0,"[2, 2, 4, 3, 4, 0]",13
71,1167,2024-05-11,4,9,18,19,42,43,16,94223811752,2,23555952938,2025-11-07 08:55:47,2025-11-07 08:55:47.936101,"[4, 9, 18, 19, 42, 43]",2024,5,11,5,2,135,22.5,16.47725705328408,4,43,39,3,3,0.5,2,2,2,2,0,0,2,"[4, 9, 8, 9, 2, 3]",13
72,1168,2024-05-18,8,9,13,26,41,43,37,85301406007,6,7108450500,2025-11-07 08:55:47,2025-11-07 08:55:47.936107,"[8, 9, 13, 26, 41, 43]",2024,5,18,5,2,140,23.333333333333332,15.832456116050556,8,43,35,4,2,0.6666666666666666,3,1,2,1,1,0,2,"[8, 9, 3, 6, 1, 3]",14
73,1169,2024-05-25,13,14,21,24,41,42,6,115219760949,5,11521976094,2025-11-07 08:55:47,2025-11-07 08:55:47.936113,"[13, 14, 21, 24, 41, 42]",2024,5,25,5,2,155,25.833333333333332,12.828354012369111,13,42,29,3,3,0.5,2,2,0,2,2,0,2,"[3, 4, 1, 4, 1, 2]",13
74,1170,2024-06-01,3,14,16,22,27,36,40,82330672998,12,3430444708,2025-11-07 08:55:47,2025-11-07 08:55:47.936119,"[3, 14, 16, 22, 27, 36]",2024,6,1,5,2,118,19.666666666666668,11.39590569751552,3,36,33,2,4,0.3333333333333333,1,0,1,2,2,1,0,"[3, 4, 6, 2, 7, 6]",13
75,1171,2024-06-08,6,7,26,28,38,43,39,118105809695,4,14763226211,2025-11-07 08:55:47,2025-11-07 08:55:47.936124,"[6, 7, 26, 28, 38, 43]",2024,6,8,5,2,148,24.666666666666668,15.409953493332376,6,43,37,2,4,0.3333333333333333,2,1,2,0,2,1,1,"[6, 7, 6, 8, 8, 3]",15
76,1172,2024-06-15,5,6,7,20,32,43,13,115926173526,7,8280440966,2025-11-07 08:55:47,2025-11-07 08:55:47.936130,"[5, 6, 7, 20, 32, 43]",2024,6,15,5,2,113,18.833333333333332,15.84192749215406,5,43,38,3,3,0.5,3,2,3,1,0,1,1,"[5, 6, 7, 0, 2, 3]",14
77,1173,2024-06-22,13,17,20,30,32,33,34,102762966756,8,6422685422,2025-11-07 08:55:47,2025-11-07 08:55:47.936136,"[13, 17, 20, 30, 32, 33]",2024,6,22,5,2,145,24.166666666666668,8.565434412022935,13,33,20,3,3,0.5,2,1,0,3,1,2,0,"[3, 7, 0, 0, 2, 3]",13
78,1174,2024-06-29,5,18,23,24,37,42,11,82466633492,5,8246663349,2025-11-07 08:55:47,2025-11-07 08:55:47.936141,"[5, 18, 23, 24, 37, 42]",2024,6,29,5,2,149,24.833333333333332,13.317907743585952,5,42,37,3,3,0.5,3,1,1,1,2,1,1,"[5, 8, 3, 4, 7, 2]",10
79,1175,2024-07-06,1,11,27,28,31,33,36,92495924354,5,9249592435,2025-11-07 08:55:47,2025-11-07 08:55:47.936147,"[1, 11, 27, 28, 31, 33]",2024,7,6,5,3,131,21.833333333333332,12.843935014888025,1,33,32,5,1,0.8333333333333334,2,1,1,1,2,2,0,"[1, 1, 7, 8, 1, 3]",15
80,1176,2024-07-13,1,17,19,21,22,29,3,118157302792,15,3938576759,2025-11-07 08:55:47,2025-11-07 08:55:47.936153,"[1, 17, 19, 21, 22, 29]",2024,7,13,5,3,109,18.166666666666668,9.347013783378447,1,29,28,5,1,0.8333333333333334,3,1,1,2,3,0,0,"[1, 7, 9, 1, 2, 9]",14
81,1177,2024-07-20,5,6,13,19,33,40,17,106630358011,3,17771726335,2025-11-07 08:55:47,2025-11-07 08:55:47.936158,"[5, 6, 13, 19, 33, 40]",2024,7,20,5,3,116,19.333333333333332,14.403703227526824,5,40,35,4,2,0.6666666666666666,3,1,2,2,0,2,0,"[5, 6, 3, 9, 3, 0]",12
